gene	CNT
GENE.18925	5702
GENE.71635	3908
GENE.73689	2644
GENE.38427	2926
GENE.53351	948
GENE.74432	16768
GENE.20407	464
GENE.18126	2606
GENE.25640	1502
GENE.2859	840
GENE.14213	358
GENE.74773	3804
GENE.78578	158
GENE.44609	1078
GENE.47319	708
GENE.6866	128
GENE.58078	6
GENE.81344	320
GENE.32003	206
GENE.54611	528
GENE.67926	6640
GENE.34719	1314
GENE.10735	1760
GENE.26892	1366
GENE.37501	682
GENE.86841	1600
GENE.16554	2184
GENE.64806	738
GENE.60597	1384
GENE.7561	426
GENE.86168	410
GENE.6051	2878
GENE.57705	1530
GENE.23303	564
GENE.32811	2238
GENE.83546	578
GENE.6410	15240
GENE.77589	918
GENE.73142	596
GENE.69062	20988
GENE.19158	52
GENE.77972	378
GENE.43226	304
GENE.80577	122
GENE.12327	3438
GENE.52175	474
GENE.6322	318
GENE.17274	170
GENE.16019	1278
GENE.40911	298
GENE.31944	810
GENE.86032	2184
GENE.75505	1930
GENE.7188	1784
GENE.23342	4572
GENE.61627	60
GENE.56952	410
GENE.10061	238
GENE.72687	2094
GENE.36055	6034
GENE.20815	262
GENE.50927	584
GENE.57299	616
GENE.86441	1782
GENE.21902	5490
GENE.75354	1024
GENE.64725	748
GENE.6555	1048
GENE.41023	3136
GENE.12115	88
GENE.75369	2528
GENE.23799	88
GENE.67303	138
GENE.9129	2804
GENE.31813	2614
GENE.86816	2476
GENE.26788	184
GENE.42434	542
GENE.12961	5956
GENE.29457	34
GENE.74375	1618
GENE.53141	724
GENE.22068	600
GENE.56003	1832
GENE.26417	6382
GENE.86885	4984
GENE.62099	308
GENE.29487	916
GENE.939	3092
GENE.43164	2
GENE.86807	234
GENE.14068	1944
GENE.72365	978
GENE.76071	34
GENE.72899	620
GENE.13893	2412
GENE.6754	198
GENE.72279	216
GENE.19122	196
GENE.47651	548
GENE.47257	664
GENE.20410	26
GENE.44764	798
GENE.16607	1562
GENE.35566	22
GENE.65318	334
GENE.40021	532
GENE.59747	1048
GENE.59258	1570
GENE.47905	22
GENE.63136	398
GENE.29522	10750
GENE.73677	988
GENE.41957	994
GENE.46610	1076
GENE.44818	184
GENE.39882	800
GENE.24497	1580
GENE.34497	446
GENE.14289	76
GENE.63790	284
GENE.14565	68
GENE.33131	218
GENE.11408	3772
GENE.53904	162
GENE.19372	6280
GENE.18265	722
GENE.78360	1314
GENE.11421	1128
GENE.57272	2134
GENE.83563	1532
GENE.68189	678
GENE.72711	1110
GENE.12874	458
GENE.52051	2620
GENE.25310	1078
GENE.31453	16
GENE.21850	348
GENE.22028	1594
GENE.70499	5190
GENE.85638	272
GENE.59213	126
GENE.44265	444
GENE.20922	162
GENE.78214	678
GENE.24956	1652
GENE.56911	3260
GENE.37279	916
GENE.10298	3490
GENE.38375	22
GENE.29813	706
GENE.30009	7302
GENE.66379	426
GENE.68389	788
GENE.61910	1324
GENE.67883	410
GENE.50998	5510
GENE.69690	878
GENE.45962	238
GENE.9186	246
GENE.67692	1578
GENE.76364	3052
GENE.81698	840
GENE.38865	1372
GENE.72940	98
GENE.47446	610
GENE.71183	1672
GENE.49407	1112
GENE.85774	5786
GENE.27900	314
GENE.1931	1874
GENE.82726	710
GENE.83699	76
GENE.58906	1060
GENE.62372	148
GENE.34665	410
GENE.46212	620
GENE.26679	768
GENE.66743	2796
GENE.71813	7372
GENE.25188	10
GENE.84311	76
GENE.17655	114
GENE.27202	10068
GENE.59914	178
GENE.14035	128
GENE.82177	1710
