gene	CNT
GENE.27324	28
GENE.44672	2104
GENE.55919	84780
GENE.61166	172
GENE.55517	926
GENE.73733	2864
GENE.6905	17012
GENE.44205	98330
GENE.22145	3250
GENE.57160	11712
GENE.35688	986
GENE.35106	8910
GENE.59736	584
GENE.60138	4000
GENE.49690	93186
GENE.46142	11402
GENE.35020	9270
GENE.47637	44374
GENE.6693	222
GENE.83864	49554
GENE.68894	28604
GENE.982	158
GENE.46099	568
GENE.25641	13454
GENE.34334	212
GENE.18323	2974
GENE.13698	171236
GENE.85800	189218
GENE.10389	628
GENE.10239	70182
GENE.64139	27584
GENE.54246	28820
GENE.43212	26288
GENE.42634	41400
GENE.65917	62068
GENE.9861	2712
GENE.9829	2544
GENE.61920	2480
GENE.80406	53204
GENE.32607	8808
GENE.24641	1862
GENE.65527	2184
GENE.46497	90186
GENE.77457	61992
GENE.16450	2362
GENE.66706	76922
GENE.70090	4330
GENE.50374	84206
GENE.39417	1110
GENE.48937	166154
GENE.49999	34450
GENE.85020	1652
GENE.30534	1062
GENE.23669	3300
GENE.17158	4072
GENE.74195	2060
GENE.34327	554
GENE.6347	165238
GENE.61247	68662
GENE.37856	1262
GENE.6011	9182
GENE.71050	221824
GENE.4273	97726
GENE.68694	39640
GENE.42899	29812
GENE.68998	32880
GENE.68322	3584
GENE.86973	134
GENE.35198	2502
GENE.13131	40
GENE.22295	110754
GENE.86902	2516
GENE.32112	24136
GENE.2354	48408
GENE.10240	150028
GENE.31678	474856
GENE.5911	3570
GENE.37533	1972
GENE.79297	500
GENE.84283	7176
GENE.25684	8996
GENE.82754	1486
GENE.54442	15672
GENE.85432	130068
GENE.60029	774
GENE.78395	14478
GENE.159	174
GENE.84729	58892
GENE.56067	12100
GENE.60395	63938
GENE.81026	640
GENE.40410	4216
GENE.77608	71490
GENE.42175	4864
GENE.31752	42886
GENE.6060	18676
GENE.65354	23402
GENE.48025	2514
GENE.27536	50070
GENE.73378	548
GENE.26264	161624
GENE.24086	7074
GENE.50779	160088
GENE.43222	130546
GENE.66911	798
GENE.70106	1510
GENE.22738	2716
GENE.3438	7236
GENE.76530	3474
GENE.55590	95674
GENE.70163	262
GENE.60786	20252
GENE.36829	1252
GENE.44841	5234
GENE.56781	58274
GENE.57134	7002
GENE.55063	41374
GENE.71058	123790
GENE.3269	6896
GENE.40195	14980
GENE.41756	586
GENE.1533	150
GENE.14790	408
GENE.5047	161914
GENE.41785	12006
GENE.43115	3742
GENE.59532	14278
GENE.7689	3718
GENE.66812	7318
GENE.63107	11202
GENE.27313	4004
GENE.81837	7346
GENE.30498	6440
GENE.6045	42
GENE.40887	102892
GENE.14364	10156
GENE.4212	1020
GENE.8393	12924
GENE.38149	57540
GENE.87465	15662
GENE.47351	14230
GENE.77804	1094
GENE.43235	31820
GENE.67553	31040
GENE.87084	1116
GENE.33983	2154
GENE.71083	2366
GENE.74227	157756
GENE.59876	3162
GENE.47807	2712
GENE.6407	6582
GENE.48881	43312
GENE.45869	7332
GENE.8342	35232
GENE.43436	12574
GENE.79001	6730
GENE.9350	4204
GENE.46249	55152
GENE.33479	1438
GENE.72020	5008
GENE.80860	1522
GENE.23905	1206
GENE.6957	894
GENE.5128	4528
GENE.23708	6744
GENE.74233	10434
GENE.45729	1626
GENE.51590	80596
GENE.64604	40468
GENE.19498	33156
GENE.49892	70686
GENE.26932	2236
GENE.1683	16868
GENE.51582	2102
GENE.34478	14354
GENE.38072	3010
GENE.57867	2396
GENE.62101	3318
GENE.13790	95646
GENE.67279	4996
GENE.18925	153242
GENE.71635	87744
GENE.53351	5776
GENE.38427	67448
GENE.73689	23562
GENE.74432	453126
GENE.20407	2922
GENE.18126	47292
GENE.25640	32500
GENE.2859	5310
GENE.14213	2222
GENE.74773	105244
GENE.47319	3636
GENE.78578	832
GENE.44609	24858
GENE.6866	3244
GENE.58078	94
GENE.32003	1204
GENE.81344	6378
GENE.54611	2100
GENE.67926	98720
GENE.34719	30344
GENE.10735	9790
GENE.26892	13576
GENE.37501	6522
GENE.86841	21876
GENE.16554	48354
GENE.64806	4174
GENE.60597	27660
GENE.7561	10238
GENE.23303	4906
GENE.86168	9288
GENE.6051	59508
GENE.57705	18390
GENE.83546	3306
GENE.32811	33124
GENE.6410	358502
GENE.77589	13752
GENE.73142	3974
GENE.69062	579340
GENE.19158	286
GENE.77972	1948
GENE.43226	9340
GENE.80577	748
GENE.12327	69072
GENE.52175	2614
GENE.17274	634
GENE.6322	2986
GENE.16019	8152
GENE.40911	1546
GENE.31944	17670
GENE.75505	34380
GENE.86032	53388
GENE.7188	10504
GENE.61627	350
GENE.23342	91052
GENE.56952	5936
GENE.10061	1360
GENE.72687	45604
GENE.36055	117046
GENE.20815	1824
GENE.50927	15788
GENE.57299	3166
GENE.75354	5314
GENE.21902	137610
GENE.86441	45232
GENE.64725	4220
GENE.6555	6840
GENE.41023	37936
GENE.12115	1220
GENE.75369	37510
GENE.23799	662
GENE.67303	742
GENE.9129	15636
GENE.31813	62344
GENE.42434	242
GENE.86816	44014
GENE.26788	886
GENE.12961	122362
GENE.29457	186
GENE.74375	48538
GENE.53141	3590
GENE.22068	10946
GENE.56003	16978
GENE.26417	136470
GENE.86885	94764
GENE.62099	2044
GENE.29487	5466
GENE.939	69882
GENE.43164	8
GENE.86807	356
GENE.72365	6002
GENE.14068	53402
GENE.76071	222
GENE.72899	4216
GENE.13893	32686
GENE.6754	682
GENE.72279	2620
GENE.47651	3902
GENE.47257	6252
GENE.19122	1052
GENE.20410	190
GENE.44764	3810
GENE.16607	38956
GENE.35566	84
GENE.59747	6984
GENE.65318	2270
GENE.40021	13314
GENE.59258	37560
GENE.47905	436
GENE.63136	2408
GENE.29522	235096
GENE.41957	6234
GENE.73677	5558
GENE.46610	7322
GENE.44818	1296
GENE.39882	7968
GENE.24497	9234
GENE.34497	5054
GENE.14289	250
GENE.63790	1658
GENE.14565	2102
GENE.33131	1076
GENE.11408	103098
GENE.53904	1108
GENE.19372	160996
GENE.18265	18202
GENE.57272	32432
GENE.78360	24776
GENE.11421	24788
GENE.83563	35196
GENE.68189	15120
GENE.72711	7062
GENE.12874	2878
GENE.52051	49724
GENE.25310	6194
GENE.31453	124
GENE.21850	1920
GENE.22028	38436
GENE.70499	66436
GENE.85638	3560
GENE.59213	1236
GENE.44265	8940
GENE.20922	1480
GENE.78214	4276
GENE.24956	10626
GENE.56911	73478
GENE.37279	10614
GENE.10298	20418
GENE.38375	242
GENE.29813	4588
GENE.30009	132014
GENE.66379	1860
GENE.68389	10024
GENE.67883	10786
GENE.61910	12514
GENE.50998	149498
GENE.69690	5366
GENE.45962	5572
GENE.9186	1414
GENE.67692	14214
GENE.76364	81482
GENE.38865	8748
GENE.81698	13398
GENE.72940	560
GENE.47446	3250
GENE.71183	23546
GENE.49407	26252
GENE.85774	109348
GENE.27900	1994
GENE.1931	35746
GENE.82726	5050
