gene	CNT
GENE.55063	41112
GENE.71058	124224
GENE.3269	6460
GENE.40195	14856
GENE.41756	594
GENE.1533	86
GENE.14790	474
GENE.5047	161400
GENE.41785	12270
GENE.43115	3686
GENE.59532	14234
GENE.27313	3846
GENE.63107	11478
GENE.7689	3678
GENE.81837	7240
GENE.66812	7178
GENE.30498	6572
GENE.6045	40
GENE.40887	104196
GENE.14364	10022
GENE.4212	1106
GENE.8393	12858
GENE.87465	15590
GENE.47351	14172
GENE.38149	57810
GENE.77804	1044
GENE.43235	31786
GENE.67553	31096
GENE.87084	972
GENE.33983	2354
GENE.71083	2358
GENE.74227	156882
GENE.47807	2864
GENE.6407	6366
GENE.59876	3112
GENE.48881	42658
GENE.43436	12306
GENE.8342	35566
GENE.45869	7266
GENE.79001	6698
GENE.9350	4270
GENE.46249	55462
GENE.33479	1418
GENE.72020	4962
GENE.80860	1394
GENE.23905	1118
GENE.6957	926
GENE.5128	4528
GENE.23708	6826
GENE.74233	10582
GENE.45729	1420
GENE.51590	80516
GENE.64604	40262
GENE.19498	32476
GENE.49892	71294
GENE.1683	16832
GENE.26932	2092
GENE.51582	1998
GENE.34478	14564
GENE.57867	2246
GENE.38072	3150
GENE.62101	3386
GENE.13790	96466
GENE.67279	4864
GENE.18925	152952
GENE.71635	87298
GENE.53351	5750
GENE.73689	23646
GENE.38427	67282
GENE.74432	452892
GENE.20407	2890
GENE.18126	47436
GENE.2859	4858
GENE.25640	32600
GENE.14213	2252
GENE.74773	105396
GENE.78578	860
GENE.47319	3770
GENE.44609	24546
GENE.6866	3378
GENE.58078	82
GENE.32003	1196
GENE.81344	6550
GENE.54611	2060
GENE.67926	98228
GENE.10735	9484
GENE.34719	30202
GENE.26892	13730
GENE.37501	6414
GENE.86841	21760
GENE.16554	47444
GENE.64806	4118
GENE.60597	27822
GENE.7561	10042
GENE.23303	5012
GENE.57705	18492
GENE.86168	9180
GENE.6051	59618
GENE.32811	33098
GENE.83546	3288
GENE.6410	360058
GENE.77589	13710
GENE.73142	3876
GENE.69062	579350
GENE.19158	268
GENE.77972	2008
GENE.43226	9228
GENE.80577	736
GENE.12327	69564
GENE.17274	576
GENE.6322	3004
GENE.52175	2618
GENE.16019	8346
GENE.31944	17646
GENE.40911	1536
GENE.75505	34320
GENE.86032	53206
GENE.7188	10440
GENE.61627	340
GENE.23342	90878
GENE.56952	5740
GENE.10061	1424
GENE.72687	45482
GENE.36055	115898
GENE.20815	1734
GENE.50927	15902
GENE.57299	3232
GENE.75354	4998
GENE.86441	45240
GENE.21902	136612
GENE.64725	4232
GENE.6555	6676
GENE.41023	38036
GENE.12115	1176
GENE.75369	38060
GENE.23799	564
GENE.67303	772
GENE.9129	15282
GENE.31813	62356
GENE.42434	246
GENE.26788	870
GENE.86816	42872
GENE.12961	121726
GENE.29457	210
GENE.74375	48528
GENE.53141	3468
GENE.22068	10894
GENE.56003	17022
GENE.26417	136376
GENE.86885	94074
GENE.62099	2082
GENE.29487	5214
GENE.939	70314
GENE.43164	12
GENE.86807	318
GENE.72365	5690
GENE.14068	52704
GENE.76071	200
GENE.72899	3956
GENE.13893	32892
GENE.6754	694
GENE.72279	2508
GENE.19122	1038
GENE.47651	3902
GENE.47257	6178
GENE.20410	178
GENE.44764	3868
GENE.16607	39534
GENE.35566	84
GENE.65318	2354
GENE.59747	6918
GENE.40021	13016
GENE.59258	36700
GENE.47905	430
GENE.63136	2380
GENE.29522	237762
GENE.73677	5470
GENE.41957	6120
GENE.46610	7180
GENE.44818	1272
GENE.39882	7616
GENE.34497	5198
GENE.24497	9440
GENE.14289	236
GENE.63790	1660
GENE.33131	1052
GENE.14565	1970
GENE.11408	103920
GENE.53904	976
GENE.19372	160380
GENE.18265	18266
GENE.78360	24476
GENE.11421	24532
GENE.57272	31340
GENE.83563	35574
GENE.68189	14736
GENE.72711	6790
GENE.12874	2944
GENE.52051	50116
GENE.25310	6084
GENE.31453	108
GENE.21850	1870
GENE.22028	38878
GENE.70499	66048
GENE.85638	3550
GENE.59213	1336
GENE.44265	9094
GENE.20922	1594
GENE.78214	3938
GENE.24956	10290
GENE.56911	73214
GENE.37279	10620
GENE.10298	20500
GENE.38375	190
GENE.29813	4480
GENE.30009	132732
GENE.66379	1812
GENE.68389	9734
GENE.61910	12322
GENE.67883	10904
GENE.50998	149066
GENE.69690	5564
GENE.45962	5554
GENE.9186	1532
GENE.76364	81340
GENE.67692	13920
GENE.38865	8788
GENE.81698	13196
GENE.72940	578
GENE.47446	3428
GENE.71183	23664
GENE.49407	26506
GENE.85774	109220
GENE.27900	1988
GENE.1931	35540
GENE.82726	5062
GENE.83699	358
GENE.58906	4228
GENE.62372	568
GENE.34665	3708
GENE.46212	3734
GENE.26679	4256
GENE.66743	40420
GENE.71813	177610
GENE.25188	74
GENE.84311	410
GENE.17655	640
GENE.27202	193762
GENE.59914	1138
GENE.14035	1336
GENE.82177	39722
GENE.25409	6970
GENE.47445	2726
GENE.28018	49860
GENE.73130	102586
GENE.87262	25160
GENE.60350	2214
GENE.52020	1640
GENE.59402	20140
GENE.44243	11700
GENE.28087	39960
GENE.51403	2130
GENE.12552	7214
GENE.18329	14166
GENE.72410	794
GENE.38992	3166
GENE.25900	82950
GENE.42988	15814
GENE.12253	204
GENE.80204	2788
GENE.4991	4574
GENE.79184	182
GENE.34653	6108
GENE.19925	3580
GENE.68965	81716
