gene	CNT
GENE.6866	3504
GENE.58078	86
GENE.32003	1070
GENE.81344	6322
GENE.54611	1842
GENE.67926	93866
GENE.10735	9012
GENE.34719	30260
GENE.26892	12628
GENE.37501	6072
GENE.86841	20742
GENE.16554	47420
GENE.64806	3882
GENE.60597	26842
GENE.7561	10256
GENE.23303	4706
GENE.86168	9384
GENE.57705	17204
GENE.6051	58570
GENE.83546	2958
GENE.32811	31134
GENE.6410	361590
GENE.77589	13246
GENE.73142	3238
GENE.69062	598346
GENE.19158	252
GENE.77972	1574
GENE.43226	9554
GENE.80577	692
GENE.12327	68062
GENE.17274	486
GENE.6322	2694
GENE.16019	7324
GENE.52175	2384
GENE.40911	1472
GENE.31944	17290
GENE.75505	32932
GENE.86032	54078
GENE.7188	9674
GENE.61627	282
GENE.23342	89738
GENE.56952	5428
GENE.10061	1330
GENE.72687	44874
GENE.36055	114570
GENE.20815	1608
GENE.50927	16308
GENE.57299	2920
GENE.86441	46640
GENE.21902	138396
GENE.75354	4554
GENE.64725	3840
GENE.6555	5862
GENE.41023	36152
GENE.12115	1222
GENE.75369	35780
GENE.23799	580
GENE.67303	640
GENE.9129	14208
GENE.31813	63182
GENE.42434	38
GENE.26788	842
GENE.86816	42764
GENE.12961	121048
GENE.29457	140
GENE.74375	50846
GENE.53141	2906
GENE.22068	10578
GENE.56003	16076
GENE.26417	134902
GENE.86885	91906
GENE.62099	1838
GENE.29487	4720
GENE.939	70088
GENE.43164	18
GENE.86807	240
GENE.72365	5094
GENE.14068	54040
GENE.76071	158
GENE.72899	3562
GENE.13893	30846
GENE.6754	526
GENE.72279	2376
GENE.19122	918
GENE.47257	5678
GENE.47651	3708
GENE.20410	186
GENE.44764	3260
GENE.16607	39764
GENE.35566	78
GENE.65318	2020
GENE.59747	6232
GENE.40021	12936
GENE.59258	37204
GENE.47905	402
GENE.63136	2252
GENE.29522	233344
GENE.41957	5374
GENE.73677	4926
GENE.46610	6450
GENE.44818	1112
GENE.39882	7328
GENE.24497	8528
GENE.34497	4758
GENE.14289	160
GENE.63790	1468
GENE.14565	1882
GENE.33131	846
GENE.11408	106550
GENE.53904	938
GENE.19372	163368
GENE.18265	18274
GENE.11421	24114
GENE.57272	30246
